         45

  0 34 35  0 34  0  0 14  0  0  0 34  5 16  0 14  0 34 16  6  0 34  0  0  0 14  0 16 35 34 34 35  0  0  6  0 35  0  0 35  0  9 35 35 34
 34  0  0  5  0 34 25  0 34 25 12  0 34  0 34  0 27  0  0  0 25  0 27 34 10  0 27  0  0  3  0  0 27 27 34 27  0 27 12  0 27  0  0  0  8
 35  0  0 27  0 35 27  0 35 27 27  0 35  0 35  0 14  0  0  0 27  0 14 35 27  0 25  0  0  0  0  0 25 14 35 10  0  3 27  8  5  0  2  0  0
  0  5 27  0 25  0  0 34  0  0  0 25  0 34  0 34  0 12 34 34  0 12  0  0  2 34  0 34 27  5 12 27  0  0  0  0 27  0  2 27  0 34 27 27  5
 34  0  0 25  0 34  5  0 34  9 23  1 34  0 34  0 27  0  0  0  3  0 27 34 25  0 27  0  0  0  0  0 27 27 34 27  0 27 23  0 27  0  0  0  0
  0 34 35  0 34  0  0 23  0  0  0 34  0  3  0 23  0 34  7 16  0 34  0  6  0 23  0  6 35 34 34 35  0  0  0  0 35  0  0 35  0 16 35 35 34
  0 25 27  0  5  0  0 34  0  2  0  7  0 34  0 34  0 23 34 34  8 23  0  0  0 34  0 34 27 25 23 27  0  0  0  0 27  0  0 27  0 34 27 27 25
 14  0  0 34  0 23 34  0  1 34 34  0 14  0  1  1 35  0  0  0 34  2 35 23 34  5 35  0  0  0  0  0 35 35 14 35  0 35 34  0 35  0  0  0  0
  0 34 35  0 34  0  0  1  0  0  0 34  0 23  9  1  0 34 23 14  0 34  0  0  0  3  0 23 35 34 34 35  0  0  0  0 35  0  0 35  0 14 35 35 34
  0 25 27  0  9  0  2 34  0  0  0  7  0 34  0 34  0 23 34 34  3 23  0  0  0 34  0 34 27 25 23 27  0  0  0  0 27  0  0 27  0 34 27 27 25
  0 12 27  0 23  0  0 34  0  0  0 23  0 34  0 34  0  3 34 34  0  2  0  0  4 34  0 34 27 12  2 27  0  0  0  0 27  0 10 27  0 34 27 27 12
 34  0  0 25  1 34  7  0 34  7 23  0 34  0 34  0 27  0  0  0  1  0 27 34 25  0 27  0  0  0  0  0 27 27 34 27  0 27 23  0 27  0  0  0  0
  5 34 35  0 34  0  0 14  0  0  0 34  0 16  0 14  0 34 16  3  1 34  0  0  0 14  0 16 35 34 34 35  0  0  6  0 35  0  0 35  0  8 35 35 34
 16  0  0 34  0  3 34  0 23 34 34  0 16  0 23  1 35  0  4  0 34  0 35  3 34  0 35  5  0  1  0  0 35 35 16 35  0 35 34  0 35  0  0  0  0
  0 34 35  0 34  0  0  1  9  0  0 34  0 23  0 10  0 34 23 14  0 34  0  0  0  6  0 23 35 34 34 35  1  0  0  0 35  0  0 35  0 14 35 35 34
 14  0  0 34  0 23 34  1  1 34 34  0 14  1 10  0 35  0  0  0 34  0 35 23 34  4 35  0  0  0  0  0 35 35 14 35  0 35 34  0 35  0  0  0  0
  0 27 14  0 27  0  0 35  0  0  0 27  0 35  0 35  0 27 35 35  0 27 10  0  0 35  0 35 15 27 27  1  0  1  0  0 15  1  0 14  0 35  2 15 27
 34  0  0 12  0 34 23  0 34 23  3  0 34  0 34  0 27  0  0  0 23  5 27 34 12  0 27  0  0  0  4  0 27 27 34 27  0 27  8  0 27  0  0  0  0
 16  0  0 34  0  7 34  0 23 34 34  0 16  4 23  0 35  0  0  0 34  0 35  7 34  0 35 10  0  0  0  0 35 35 16 35  0 35 34  0 35  0  0  0  0
  6  0  0 34  0 16 34  0 14 34 34  0  3  0 14  0 35  0  0  0 34  0 35 16 34  0 35  0  0  0  0  0 35 35  1 35  0 35 34  0 35  4  0  0  0
